 Name                 Version    License                                                          
 Grid2Op              1.6.3      Mozilla Public License 2.0 (MPL 2.0)                             
 Jinja2               3.0.1      BSD License                                                      
 LightSim2Grid        0.5.4      Mozilla Public License 2.0 (MPL 2.0)                             
 MarkupSafe           2.0.1      BSD License                                                      
 Pillow               8.3.2      Historical Permission Notice and Disclaimer (HPND)               
 Pygments             2.10.0     BSD License                                                      
 Send2Trash           1.8.0      BSD License                                                      
 XlsxWriter           3.0.1      BSD License                                                      
 anyio                3.3.1      MIT License                                                      
 argon2-cffi          21.1.0     MIT License                                                      
 attrs                21.2.0     MIT License                                                      
 backcall             0.2.0      BSD License                                                      
 black                21.8b0     MIT License                                                      
 bleach               4.1.0      Apache Software License                                          
 certifi              2021.5.30  Mozilla Public License 2.0 (MPL 2.0)                             
 cffi                 1.14.6     MIT License                                                      
 charset-normalizer   2.0.4      MIT License                                                      
 click                8.0.1      BSD License                                                      
 cryptography         3.4.8      Apache Software License; BSD License                             
 cycler               0.10.0     BSD                                                              
 debugpy              1.4.3      Eclipse Public License 2.0 (EPL-2.0); MIT License                
 decorator            5.1.0      BSD License                                                      
 defusedxml           0.7.1      Python Software Foundation License                               
 entrypoints          0.3        MIT License                                                      
 et-xmlfile           1.1.0      MIT License                                                      
 idna                 3.2        BSD License                                                      
 ipykernel            6.4.1      BSD License                                                      
 ipyleaflet           0.14.0     MIT License                                                      
 ipympl               0.7.0      BSD License                                                      
 ipython              7.27.0     BSD License                                                      
 ipython-genutils     0.2.0      BSD License                                                      
 ipyvue               1.5.0      UNKNOWN                                                          
 ipyvuetify           1.8.1      UNKNOWN                                                          
 ipywidgets           7.6.4      BSD License                                                      
 jedi                 0.18.0     MIT License                                                      
 jsonschema           3.2.0      MIT License                                                      
 jupyter-client       6.1.12     BSD License                                                      
 jupyter-core         4.7.1      BSD License                                                      
 jupyter-server       1.11.0     BSD License                                                      
 jupyterlab-pygments  0.1.2      BSD                                                              
 jupyterlab-widgets   1.0.1      BSD License                                                      
 kiwisolver           1.3.2      BSD License                                                      
 llvmlite             0.37.0     BSD                                                              
 matplotlib           3.4.3      Python Software Foundation License                               
 matplotlib-inline    0.1.3      BSD 3-Clause                                                     
 mistune              0.8.4      BSD License                                                      
 mypy-extensions      0.4.3      MIT License                                                      
 nbclient             0.5.4      BSD License                                                      
 nbconvert            6.1.0      BSD License                                                      
 nbformat             5.1.3      BSD License                                                      
 nest-asyncio         1.5.1      BSD License                                                      
 networkx             2.6.3      BSD License                                                      
 notebook             6.4.3      BSD License                                                      
 numba                0.54.0     BSD License                                                      
 numpy                1.20.3     BSD License                                                      
 openpyxl             3.0.9      MIT License                                                      
 packaging            21.0       Apache Software License; BSD License                             
 pandapower           2.7.0      BSD License                                                      
 pandas               1.3.3      BSD License                                                      
 pandocfilters        1.4.3      BSD License                                                      
 parso                0.8.2      MIT License                                                      
 pathlib              1.0.1      MIT License                                                      
 pathspec             0.9.0      Mozilla Public License 2.0 (MPL 2.0)                             
 pexpect              4.8.0      ISC License (ISCL)                                               
 pickleshare          0.7.5      MIT License                                                      
 platformdirs         2.3.0      MIT License                                                      
 prometheus-client    0.11.0     Apache Software License                                          
 prompt-toolkit       3.0.20     BSD License                                                      
 ptyprocess           0.7.0      ISC License (ISCL)                                               
 pycparser            2.20       BSD License                                                      
 pyparsing            2.4.7      MIT License                                                      
 pyrsistent           0.18.0     MIT License                                                      
 python-dateutil      2.8.2      Apache Software License; BSD License                             
 pytz                 2021.1     MIT License                                                      
 pyzmq                22.2.1     BSD License; GNU Library or Lesser General Public License (LGPL) 
 regex                2021.8.28  Apache Software License                                          
 requests             2.26.0     Apache Software License                                          
 requests-unixsocket  0.2.0      Apache Software License                                          
 scipy                1.6.0      BSD License                                                      
 six                  1.16.0     MIT License                                                      
 sniffio              1.2.0      Apache Software License; MIT License                             
 terminado            0.12.1     BSD License                                                      
 testpath             0.5.0      BSD License                                                      
 tomli                1.2.1      MIT License                                                      
 tornado              6.1        Apache Software License                                          
 tqdm                 4.62.2     MIT License; Mozilla Public License 2.0 (MPL 2.0)                
 traitlets            5.1.0      BSD License                                                      
 traittypes           0.2.1      BSD License                                                      
 typing-extensions    3.10.0.2   Python Software Foundation License                               
 urllib3              1.26.6     MIT License                                                      
 voila                0.2.12     BSD License                                                      
 wcwidth              0.2.5      MIT License                                                      
 webencodings         0.5.1      BSD License                                                      
 websocket-client     1.2.1      Apache Software License                                          
 widgetsnbextension   3.5.1      BSD License                                                      
 xlrd                 2.0.1      BSD License                                                      
